Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Captain,Formation,Date
Premier League,Matchweek 20,Wed,Home,Draw,0,0,Wolves,78,César Azpilicueta,4-2-3-1,2021-01-27
Premier League,Matchweek 21,Sun,Home,Win,2,0,Burnley,71,César Azpilicueta,3-4-3,2021-01-31
Premier League,Matchweek 22,Thu,Away,Win,1,0,Tottenham,58,César Azpilicueta,3-4-3,2021-02-04
Premier League,Matchweek 23,Sun,Away,Win,2,1,Sheffield Utd,68,César Azpilicueta,3-4-1-2,2021-02-07
FA Cup,Fifth round proper,Thu,Away,Win,1,0,Barnsley,72,N'Golo Kanté,3-4-3,2021-02-11
Premier League,Matchweek 24,Mon,Home,Win,2,0,Newcastle Utd,65,César Azpilicueta,3-4-3,2021-02-15
Premier League,Matchweek 25,Sat,Away,Draw,1,1,Southampton,70,César Azpilicueta,3-4-3,2021-02-20
Champions League,Round of 16,Tue,Away,Win,1,0,Atlético Madrid,62,César Azpilicueta,3-4-3,2021-02-23
Premier League,Matchweek 26,Sun,Home,Draw,0,0,Manchester Utd,57,César Azpilicueta,3-4-3,2021-02-28
Premier League,Matchweek 29,Thu,Away,Win,1,0,Liverpool,45,César Azpilicueta,3-4-3,2021-03-04
Premier League,Matchweek 27,Mon,Home,Win,2,0,Everton,65,César Azpilicueta,3-4-3,2021-03-08
Premier League,Matchweek 28,Sat,Away,Draw,0,0,Leeds United,62,César Azpilicueta,4-2-3-1,2021-03-13
Champions League,Round of 16,Wed,Home,Win,2,0,Atlético Madrid,55,César Azpilicueta,3-4-3,2021-03-17
FA Cup,Quarter-finals,Sun,Home,Win,2,0,Sheffield Utd,63,Mason Mount,3-4-3,2021-03-21
Premier League,Matchweek 30,Sat,Home,Loss,2,5,West Brom,63,César Azpilicueta,3-4-3,2021-04-03
Champions League,Quarter-finals,Wed,Away,Win,2,0,Porto,59,César Azpilicueta,3-4-3,2021-04-07
Premier League,Matchweek 31,Sat,Away,Win,4,1,Crystal Palace,64,César Azpilicueta,3-4-3,2021-04-10
Champions League,Quarter-finals,Tue,Home,Loss,0,1,Porto,47,César Azpilicueta,3-4-3,2021-04-13
FA Cup,Semi-finals,Sat,Home,Win,1,0,Manchester City,45,César Azpilicueta,3-4-3,2021-04-17
Premier League,Matchweek 32,Tue,Home,Draw,0,0,Brighton,64,Jorginho,3-4-3,2021-04-20
Premier League,Matchweek 33,Sat,Away,Win,1,0,West Ham,55,César Azpilicueta,3-4-3,2021-04-24
Champions League,Semi-finals,Tue,Away,Draw,1,1,Real Madrid,49,César Azpilicueta,3-5-2,2021-04-27
Premier League,Matchweek 34,Sat,Home,Win,2,0,Fulham,48,Thiago Silva,3-5-2,2021-05-01
Champions League,Semi-finals,Wed,Home,Win,2,0,Real Madrid,34,César Azpilicueta,3-5-2,2021-05-05
Premier League,Matchweek 35,Sat,Away,Win,2,1,Manchester City,51,César Azpilicueta,3-4-3,2021-05-08
Premier League,Matchweek 36,Wed,Home,Loss,0,1,Arsenal,67,César Azpilicueta,3-4-3,2021-05-12
FA Cup,Final,Sat,Neutral,Loss,0,1,Leicester City,64,César Azpilicueta,3-4-3,2021-05-15
Premier League,Matchweek 37,Tue,Home,Win,2,1,Leicester City,58,César Azpilicueta,3-4-3,2021-05-18
Premier League,Matchweek 38,Sun,Away,Loss,1,2,Aston Villa,72,César Azpilicueta,3-4-3,2021-05-23
Champions League,Final,Sat,Away,Win,1,0,Manchester City,40,César Azpilicueta,3-4-3,2021-05-29
Super Cup,UEFA Super Cup,Wed,Home,Win,7,6,Villarreal,62,N'Golo Kanté,3-4-3,2021-08-11
Premier League,Matchweek 1,Sat,Home,Win,3,0,Crystal Palace,62,César Azpilicueta,3-4-3,2021-08-14
Premier League,Matchweek 2,Sun,Away,Win,2,0,Arsenal,65,César Azpilicueta,3-4-3,2021-08-22
Premier League,Matchweek 3,Sat,Away,Draw,1,1,Liverpool,35,César Azpilicueta,3-4-3,2021-08-28
Premier League,Matchweek 4,Sat,Home,Win,3,0,Aston Villa,57,Marcos Alonso,3-4-3,2021-09-11
Champions League,Group stage,Tue,Home,Win,1,0,Zenit,66,César Azpilicueta,3-4-3,2021-09-14
Premier League,Matchweek 5,Sun,Away,Win,3,0,Tottenham,53,César Azpilicueta,3-4-3,2021-09-19
EFL Cup,Third round,Wed,Home,Win,5,4,Aston Villa,68,N'Golo Kanté,4-3-3,2021-09-22
Premier League,Matchweek 6,Sat,Home,Loss,0,1,Manchester City,40,César Azpilicueta,3-5-2,2021-09-25
Champions League,Group stage,Wed,Away,Loss,0,1,Juventus,72,César Azpilicueta,3-4-3,2021-09-29
Premier League,Matchweek 7,Sat,Home,Win,3,1,Southampton,62,César Azpilicueta,3-4-3,2021-10-02
Premier League,Matchweek 8,Sat,Away,Win,1,0,Brentford,56,César Azpilicueta,3-5-2,2021-10-16
Champions League,Group stage,Wed,Home,Win,4,0,Malmö,72,César Azpilicueta,3-4-3,2021-10-20
Premier League,Matchweek 9,Sat,Home,Win,7,0,Norwich City,63,Jorginho,3-4-3,2021-10-23
EFL Cup,Fourth round,Tue,Home,Win,5,4,Southampton,63,Marcos Alonso,3-4-3,2021-10-26
Premier League,Matchweek 10,Sat,Away,Win,3,0,Newcastle Utd,77,Jorginho,3-4-3,2021-10-30
Champions League,Group stage,Tue,Away,Win,1,0,Malmö,71,César Azpilicueta,3-4-3,2021-11-02
Premier League,Matchweek 11,Sat,Home,Draw,1,1,Burnley,68,Jorginho,3-4-1-2,2021-11-06
Premier League,Matchweek 12,Sat,Away,Win,3,0,Leicester City,61,Jorginho,3-4-3,2021-11-20
Champions League,Group stage,Tue,Home,Win,4,0,Juventus,54,Jorginho,3-4-3,2021-11-23
Premier League,Matchweek 13,Sun,Home,Draw,1,1,Manchester Utd,65,Jorginho,3-4-3,2021-11-28
Premier League,Matchweek 14,Wed,Away,Win,2,1,Watford,49,César Azpilicueta,3-4-3,2021-12-01
Premier League,Matchweek 15,Sat,Away,Loss,2,3,West Ham,63,Jorginho,3-4-3,2021-12-04
Champions League,Group stage,Wed,Away,Draw,3,3,Zenit,54,César Azpilicueta,3-4-1-2,2021-12-08
Premier League,Matchweek 16,Sat,Home,Win,3,2,Leeds United,57,César Azpilicueta,3-4-3,2021-12-11
Premier League,Matchweek 17,Thu,Home,Draw,1,1,Everton,79,César Azpilicueta,3-4-3,2021-12-16
Premier League,Matchweek 18,Sun,Away,Draw,0,0,Wolves,63,César Azpilicueta,3-4-3,2021-12-19
EFL Cup,Quarter-finals,Wed,Away,Win,2,0,Brentford,67,César Azpilicueta,3-4-1-2,2021-12-22
Premier League,Matchweek 19,Sun,Away,Win,3,1,Aston Villa,58,Jorginho,3-4-3,2021-12-26
Premier League,Matchweek 20,Wed,Home,Draw,1,1,Brighton,49,César Azpilicueta,3-4-3,2021-12-29
Premier League,Matchweek 21,Sun,Home,Draw,2,2,Liverpool,55,César Azpilicueta,3-4-3,2022-01-02
EFL Cup,Semi-finals,Wed,Home,Win,2,0,Tottenham,64,César Azpilicueta,4-2-3-1,2022-01-05
FA Cup,Third round proper,Sat,Home,Win,5,1,Chesterfield,67,Mateo Kovačić,3-4-3,2022-01-08
EFL Cup,Semi-finals,Wed,Away,Win,1,0,Tottenham,64,César Azpilicueta,4-2-2-2,2022-01-12
Premier League,Matchweek 22,Sat,Away,Loss,0,1,Manchester City,44,César Azpilicueta,3-4-3,2022-01-15
Premier League,Matchweek 24,Tue,Away,Draw,1,1,Brighton,56,César Azpilicueta,4-2-2-2,2022-01-18
Premier League,Matchweek 23,Sun,Home,Win,2,0,Tottenham,65,César Azpilicueta,4-3-3,2022-01-23
FA Cup,Fourth round proper,Sat,Home,Win,2,1,Plymouth Argyle,72,César Azpilicueta,4-3-3,2022-02-05
FIFA Club World Cup,Semi-finals,Wed,Neutral,Win,1,0,Al Hilal Riyadh,61,César Azpilicueta,3-4-3,2022-02-09
FIFA Club World Cup,Final,Sat,Neutral,Win,2,1,Palmeiras,69,César Azpilicueta,3-4-3,2022-02-12
Premier League,Matchweek 26,Sat,Away,Win,1,0,Crystal Palace,58,Jorginho,4-3-3,2022-02-19
Champions League,Round of 16,Tue,Home,Win,2,0,Lille,50,César Azpilicueta,3-4-3,2022-02-22
EFL Cup,Final,Sun,Home,Loss,10,11,Liverpool,46,César Azpilicueta,3-4-3,2022-02-27
FA Cup,Fifth round proper,Wed,Away,Win,3,2,Luton Town,75,Jorginho,3-4-3,2022-03-02
Premier League,Matchweek 28,Sat,Away,Win,4,0,Burnley,72,Jorginho,3-4-3,2022-03-05
Premier League,Matchweek 30,Thu,Away,Win,3,1,Norwich City,66,César Azpilicueta,3-4-3,2022-03-10
Premier League,Matchweek 29,Sun,Home,Win,1,0,Newcastle Utd,71,Jorginho,4-3-3,2022-03-13
Champions League,Round of 16,Wed,Away,Win,2,1,Lille,55,César Azpilicueta,3-5-2,2022-03-16
FA Cup,Quarter-finals,Sat,Away,Win,2,0,Middlesbrough,61,César Azpilicueta,4-2-3-1,2022-03-19
Premier League,Matchweek 31,Sat,Home,Loss,1,4,Brentford,70,César Azpilicueta,4-3-3,2022-04-02
Champions League,Quarter-finals,Wed,Home,Loss,1,3,Real Madrid,57,César Azpilicueta,3-4-3,2022-04-06
Premier League,Matchweek 32,Sat,Away,Win,6,0,Southampton,69,N'Golo Kanté,3-4-1-2,2022-04-09
Champions League,Quarter-finals,Tue,Away,Win,3,2,Real Madrid,57,N'Golo Kanté,3-4-1-2,2022-04-12
FA Cup,Semi-finals,Sun,Home,Win,2,0,Crystal Palace,67,César Azpilicueta,3-4-1-2,2022-04-17
Premier League,Matchweek 25,Wed,Home,Loss,2,4,Arsenal,66,César Azpilicueta,3-4-1-2,2022-04-20
Premier League,Matchweek 34,Sun,Home,Win,1,0,West Ham,66,César Azpilicueta,3-4-1-2,2022-04-24
Premier League,Matchweek 37,Thu,Away,Draw,1,1,Manchester Utd,64,César Azpilicueta,3-4-1-2,2022-04-28
Premier League,Matchweek 35,Sun,Away,Loss,0,1,Everton,77,César Azpilicueta,3-4-1-2,2022-05-01
Premier League,Matchweek 36,Sat,Home,Draw,2,2,Wolves,59,César Azpilicueta,3-4-1-2,2022-05-07
Premier League,Matchweek 33,Wed,Away,Win,3,0,Leeds United,67,Jorginho,3-4-3,2022-05-11
FA Cup,Final,Sat,Home,Loss,5,6,Liverpool,47,Jorginho,3-4-3,2022-05-14
Premier League,Matchweek 27,Thu,Home,Draw,1,1,Leicester City,68,Jorginho,3-4-3,2022-05-19
Premier League,Matchweek 38,Sun,Home,Win,2,1,Watford,72,César Azpilicueta,3-4-3,2022-05-22
Premier League,Matchweek 1,Sat,Away,Win,1,0,Everton,62,César Azpilicueta,3-4-3,2022-08-06
Premier League,Matchweek 2,Sun,Home,Draw,2,2,Tottenham,65,Jorginho,3-4-3,2022-08-14
Premier League,Matchweek 3,Sun,Away,Loss,0,3,Leeds United,61,Jorginho,3-4-3,2022-08-21
Premier League,Matchweek 4,Sat,Home,Win,2,1,Leicester City,46,Jorginho,4-4-2,2022-08-27
Premier League,Matchweek 5,Tue,Away,Loss,1,2,Southampton,66,César Azpilicueta,4-2-2-2,2022-08-30
Premier League,Matchweek 6,Sat,Home,Win,2,1,West Ham,68,Thiago Silva,3-5-2,2022-09-03
